,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,1679.0144399999997
1,FDW14,OUT017,1809.9107199999999
2,NCN55,OUT010,744.43098
3,FDQ58,OUT017,2131.42554
4,FDY38,OUT027,7461.354280000001
5,FDH56,OUT046,2114.11474
6,FDL48,OUT018,750.95582
7,FDC48,OUT027,1371.4148400000001
8,FDN33,OUT045,1176.53518
9,FDA36,OUT017,2378.50392
10,FDT44,OUT017,1534.06978
11,FDQ56,OUT045,1750.25504
12,NCC54,OUT019,893.5035999999998
13,FDU11,OUT049,2101.9305999999997
14,DRL59,OUT013,850.82582
15,FDM24,OUT049,2327.3704800000005
16,FDI57,OUT045,4217.5101
17,DRC12,OUT018,2798.82346
18,NCM42,OUT027,2999.2292599999996
19,FDA46,OUT010,540.42986
20,FDA31,OUT013,2971.1325
21,NCJ31,OUT035,2754.88066
22,FDG52,OUT046,701.7532
23,NCL19,OUT019,373.3806399999999
24,FDS10,OUT035,3082.45426
25,FDX22,OUT010,374.51249999999993
26,NCF19,OUT035,661.4723
27,NCE06,OUT046,2962.67684
28,DRC27,OUT046,4489.156500000001
29,FDE21,OUT035,2705.74462
30,NCR42,OUT019,54.46244
31,FDX51,OUT018,2661.0028599999996
32,NCR06,OUT018,307.53302
33,FDU31,OUT027,4369.778559999999
34,FDU59,OUT017,2126.5652
35,FDR03,OUT027,5803.37912
36,FDS49,OUT027,1986.21456
37,FDD48,OUT010,209.66042
38,NCF18,OUT017,3329.79896
39,NCD43,OUT027,2456.8019999999997
40,NCD54,OUT018,1694.92706
41,FDY19,OUT010,240.75327999999996
42,NCY54,OUT017,2014.045
43,NCL19,OUT018,2422.2469799999994
44,FDP23,OUT010,444.35492000000005
45,FDC26,OUT013,1278.0031000000001
46,FDR14,OUT010,169.51268000000005
47,NCS41,OUT035,3865.50164
48,FDF41,OUT035,4064.0432
49,FDU34,OUT046,2262.58814
50,DRH11,OUT046,496.08758000000006
51,FDM03,OUT013,1714.7679
52,FDS31,OUT017,3118.4740399999996
53,FDJ20,OUT017,1257.1635599999997
54,FDV44,OUT027,4654.940700000001
55,FDG02,OUT049,3242.97864
56,FDA09,OUT013,3494.7176199999994
57,FDT04,OUT013,380.23838000000006
58,FDL58,OUT019,402.94216000000006
59,FDE52,OUT045,1718.62954
60,FDW12,OUT035,2622.71936
61,FDL51,OUT017,4244.54158
62,NCY42,OUT027,2221.64144
63,FDR07,OUT017,2008.5188599999997
64,FDN40,OUT045,2763.53606
65,FDB35,OUT027,2546.4186799999998
66,FDA22,OUT017,3693.3257599999997
67,NCL06,OUT046,5168.9383
68,FDI35,OUT013,3095.10446
69,NCW42,OUT045,3706.7083399999997
70,NCX06,OUT049,2710.07232
71,FDC37,OUT027,2143.40994
72,FDZ14,OUT018,1889.3406600000003
73,DRG49,OUT049,5501.172500000001
74,NCG06,OUT045,3670.8883
75,DRC36,OUT045,3314.8850399999997
76,FDV21,OUT019,353.80611999999996
77,FDB53,OUT046,2468.18718
78,DRP47,OUT019,546.2888999999999
79,FDA14,OUT013,1887.4098399999998
80,DRC24,OUT035,2662.8671
81,FDW21,OUT018,1452.17638
82,NCH29,OUT046,1830.55052
83,FDU58,OUT013,3349.77296
84,FDY27,OUT017,2496.2173599999996
85,FDV56,OUT035,1357.36646
86,FDT59,OUT046,4070.1685600000005
87,FDB23,OUT046,3460.7618199999997
88,FDR49,OUT045,919.1368999999999
89,FDB03,OUT010,688.03772
90,FDN39,OUT045,2921.5304
91,FDX02,OUT027,5114.875339999999
92,FDQ16,OUT027,2578.37708
93,FDU35,OUT018,1748.32422
94,NCT29,OUT013,2144.6083799999997
95,FDZ27,OUT046,874.9943600000003
96,FDN57,OUT017,1904.72064
97,FDA03,OUT018,2393.61758
98,FDZ36,OUT045,3070.27012
99,NCU05,OUT013,1389.5246
100,FDT39,OUT018,2131.75844
101,FDK60,OUT017,1488.1295800000003
102,FDZ25,OUT017,3136.5837999999994
103,FDG12,OUT046,2233.4260999999997
104,DRB01,OUT019,662.73732
105,NCC43,OUT027,5557.5657599999995
106,FDX13,OUT019,584.17292
107,FDM22,OUT049,760.94282
108,FDJ03,OUT027,1188.9190599999997
109,FDU14,OUT018,4303.59804
110,FDB33,OUT010,383.10132
111,FDP27,OUT046,3391.5852
112,FDO38,OUT010,171.11060000000003
113,FDE28,OUT027,5946.459540000001
114,FDO27,OUT035,1717.764
115,DRL23,OUT027,2696.8228999999997
116,FDS28,OUT046,929.52338
117,FDX24,OUT013,1460.63204
118,FDZ02,OUT035,1452.90876
119,FDL46,OUT045,1298.57632
120,FDS60,OUT027,4390.951
121,NCO06,OUT017,447.7505
122,FDO16,OUT035,1816.5021399999998
123,FDC60,OUT049,1993.4717799999994
124,FDA48,OUT018,3950.7240399999996
125,FDZ36,OUT027,3367.8827200000005
126,FDK27,OUT045,1920.89958
127,FDW23,OUT018,397.34944
128,FDM14,OUT018,1268.81506
129,FDM14,OUT013,1233.59424
130,FDW60,OUT018,2680.57738
131,FDE21,OUT013,2001.0619
132,NCM42,OUT035,2156.5262
133,FDY59,OUT010,229.03519999999997
134,DRI49,OUT049,1345.44864
135,FDT28,OUT019,304.27059999999994
136,FDQ22,OUT018,522.3201
137,FDR60,OUT049,1269.8137600000002
138,FDC50,OUT019,250.87344000000002
139,FDV24,OUT013,2217.71322
140,DRF48,OUT010,677.7844000000001
141,FDQ47,OUT046,724.8564600000001
142,DRN36,OUT049,1388.32616
143,NCY06,OUT035,1503.97562
144,FDE52,OUT035,1585.07006
145,NCB54,OUT045,1888.6748599999999
146,NCF31,OUT035,2516.99032
147,FDJ08,OUT027,3397.5108199999995
148,NCC07,OUT017,1614.43184
149,NCD19,OUT027,1251.5042600000002
150,FDL46,OUT049,1478.80838
151,FDM20,OUT045,5154.88992
152,NCI06,OUT010,571.9222
153,DRM11,OUT035,4522.912560000001
154,NCH07,OUT018,2385.6279799999998
155,FDS23,OUT013,2684.4390199999993
156,FDO49,OUT018,577.18202
157,FDS35,OUT049,961.2154600000001
